language,claim_id,contrast_id,outcome,pair_id,estimate
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-00,0.322697612586892
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-01,0.185634447585352
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-02,0.489376575998721
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-03,0.666068706032296
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-04,0.0556129969706403
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-05,0.900221333365155
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-06,0.368128760522109
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-07,0.314122510901284
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-08,0.0274098457793168
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-09,0.11346155528873
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-10,0.366766203869241
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__step_zero,step_zero,pair-11,0.634061650191132
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-00,1.05703477975699
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-01,1.01625022074855
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-02,1.49372832744468
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-03,2.18253356033837
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-04,0.611375324293508
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-05,2.05842979027527
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-06,1.28019206314292
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-07,0.938895691974143
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-08,0.399791201239243
