claim,language,map_number,outcome,n,estimate,standard_error,ci_confidence,ci_low,ci_high,sample_sd,positive_seed_count
correct_assignment_advantage,spanish,1,step_zero,12,0.249661199927316,0.0055568666974822,0.95,0.23743061878955,0.261891781065082,0.0192495509018533,12
correct_assignment_advantage,spanish,2,step_zero,12,0.277075351106312,0.0062229454756729,0.95,0.263378740462296,0.290771961750328,0.0215569154731931,12
correct_assignment_advantage,spanish,3,step_zero,12,0.261487640113158,0.0053914218085359,0.95,0.249621200720776,0.27335407950554,0.0186764329948385,12
correct_assignment_advantage,spanish,1,learning_curve_auc,12,0.276871076485708,0.0044528694186941,0.95,0.267070376975336,0.28667177599608,0.0154251921452964,12
correct_assignment_advantage,spanish,2,learning_curve_auc,12,0.284586578607901,0.0040389325028,0.95,0.275696948106626,0.293476209109176,0.0139912726063822,12
correct_assignment_advantage,spanish,3,learning_curve_auc,12,0.275685371086972,0.0046399210055203,0.95,0.265472973809824,0.28589776836412,0.0160731578493347,12
correct_assignment_advantage,german,1,step_zero,12,0.157140809647074,0.0042369545305325,0.95,0.147815335601388,0.166466283692759,0.0146772410324831,12
correct_assignment_advantage,german,2,step_zero,12,0.161654828733195,0.0047930271908666,0.95,0.151105447014182,0.172204210452209,0.0166035332332803,12
correct_assignment_advantage,german,3,step_zero,12,0.155544910403768,0.0042670106759231,0.95,0.146153283228109,0.164936537579428,0.0147813585742753,12
correct_assignment_advantage,german,1,learning_curve_auc,12,0.204500914019789,0.0045051335440073,0.95,0.194585181945198,0.21441664609438,0.0156062403862074,12
correct_assignment_advantage,german,2,learning_curve_auc,12,0.202196650668115,0.0038461926349043,0.95,0.193731237755837,0.210662063580394,0.0133236021187032,12
correct_assignment_advantage,german,3,learning_curve_auc,12,0.205141153190459,0.003261412279637,0.95,0.197962833162037,0.212319473218881,0.011297863545521,12
remaining_effect_after_reassignment,spanish,1,step_zero,12,0.0911325544549175,0.0045266455950948,0.9,0.083003220351033,0.0992618885588022,0.0156807603171245,12
remaining_effect_after_reassignment,spanish,2,step_zero,12,0.0637184032759215,0.003146543938809,0.9,0.0580675727848291,0.0693692337670139,0.0108999479405304,12
remaining_effect_after_reassignment,spanish,3,step_zero,12,0.0793061142690757,0.0043372841817777,0.9,0.0715168514526156,0.0870953770855358,0.0150247931394082,12
remaining_effect_after_reassignment,spanish,1,learning_curve_auc,12,0.0491815194255136,0.0041396156315287,0.9,0.0417472465575811,0.056615792293446,0.0143400491952284,12
remaining_effect_after_reassignment,spanish,2,learning_curve_auc,12,0.0414660173033208,0.0023854025529668,0.9,0.0371821090719497,0.0457499255346921,0.0082632768364863,12
remaining_effect_after_reassignment,spanish,3,learning_curve_auc,12,0.0503672248242499,0.0032218807059702,0.9,0.0445810981767224,0.0561533514717773,0.0111609221573326,12
remaining_effect_after_reassignment,german,1,step_zero,12,0.0997243071901655,0.002800682329734,0.9,0.0946946043121831,0.104754010068148,0.0097018481819199,12
remaining_effect_after_reassignment,german,2,step_zero,12,0.0952102881040439,0.0027920933041238,0.9,0.0901960101267627,0.100224566081325,0.0096720949244306,12
remaining_effect_after_reassignment,german,3,step_zero,12,0.101320206433471,0.0021552560230976,0.9,0.0974496148611694,0.105190798005772,0.0074660258706479,12
remaining_effect_after_reassignment,german,1,learning_curve_auc,12,0.0463993251502353,0.0028106294258012,0.9,0.0413517584334357,0.0514468918670348,0.0097363059334721,12
remaining_effect_after_reassignment,german,2,learning_curve_auc,12,0.0487035885019089,0.00328712292863,0.9,0.0428002943371681,0.0546068826666495,0.0113869278462237,12
remaining_effect_after_reassignment,german,3,learning_curve_auc,12,0.0457590859795648,0.0033775804767104,0.9,0.0396933404774895,0.0518248314816402,0.0117002819846303,12
trained_row_effect,spanish,,step_zero,12,0.340793754382234,0.0060855737993803,0.95,0.327399496759155,0.354188012005313,0.0210810460274735,12
trained_row_effect,spanish,,learning_curve_auc,12,0.326052595911222,0.0033821171953421,0.95,0.318608606154583,0.333496585667861,0.0117159976389699,12
trained_row_effect,german,,step_zero,12,0.256865116837239,0.003958727338992,0.95,0.248152016711268,0.26557821696321,0.0137134337688928,12
trained_row_effect,german,,learning_curve_auc,12,0.250900239170024,0.0041762218488225,0.95,0.241708436855515,0.260092041484533,0.0144668568516796,12
