seed,language,condition,nll_nats_per_token,perplexity
90,german,co_trained,3.73423675633967,41.8560669907882
90,german,other_language,3.75413152668625,42.6971223924536
90,german,same_language_other_run,3.73704773187637,41.9738888908197
90,german,initial,3.75005515711382,42.5234274049047
90,spanish,co_trained,3.73490051506087,41.8838585427107
90,spanish,other_language,3.76128962170333,43.0038489306685
90,spanish,same_language_other_run,3.73818744067103,42.0217541721942
90,spanish,initial,3.75452880235389,42.7140882901043
91,german,co_trained,3.72753732325509,41.5765922771618
91,german,other_language,3.74687858810648,42.388563119584
91,german,same_language_other_run,3.7301206481643,41.6841369752714
91,german,initial,3.74032457126304,42.1116561805144
91,spanish,co_trained,3.74453851394355,42.2894867065128
91,spanish,other_language,3.76992936991155,43.3770010062359
91,spanish,same_language_other_run,3.74757251888514,42.4179880564495
91,spanish,initial,3.75848846556619,42.8835569922222
92,german,co_trained,3.72433939389884,41.4438456424965
92,german,other_language,3.74429053929634,42.279001286079
92,german,same_language_other_run,3.72730426117778,41.5669034792876
92,german,initial,3.73838761076331,42.0301665125262
92,spanish,co_trained,3.72651731362566,41.5342053738801
92,spanish,other_language,3.75329267792404,42.6613209822682
92,spanish,same_language_other_run,3.72995939711109,41.6774159061861
92,spanish,initial,3.74630564404652,42.3642838001442
93,german,co_trained,3.72102025803179,41.3065159220323
93,german,other_language,3.74133772449568,42.1543433617816
93,german,same_language_other_run,3.72347540175542,41.4080539495654
93,german,initial,3.73543738340959,41.9063506978073
93,spanish,co_trained,3.72901683254167,41.6381507584837
93,spanish,other_language,3.75344252819195,42.6677142716532
93,spanish,same_language_other_run,3.73165495693684,41.7481424017954
93,spanish,initial,3.74564291862771,42.3362172136677
94,german,co_trained,3.73072451539338,41.7093162612706
94,german,other_language,3.75117708230391,42.5711622817526
94,german,same_language_other_run,3.73326705675572,41.8154988526738
94,german,initial,3.74484366411343,42.3023933196928
94,spanish,co_trained,3.73156550852582,41.7444082638035
94,spanish,other_language,3.75822501047514,42.8722605889234
94,spanish,same_language_other_run,3.73416948970407,41.8532515686755
94,spanish,initial,3.74972208589315,42.509266433469
95,german,co_trained,3.72634709253907,41.5271359780078
95,german,other_language,3.74777110293508,42.4264124287533
95,german,same_language_other_run,3.72859934298322,41.6207708935171
95,german,initial,3.74167388910428,42.1685165422459
95,spanish,co_trained,3.72754227509722,41.5767981583928
95,spanish,other_language,3.75114119797945,42.5696346717614
95,spanish,same_language_other_run,3.73019442940131,41.6872125959211
95,spanish,initial,3.74329468421638,42.2369184855357
96,german,co_trained,3.7328117294237,41.7964634471432
96,german,other_language,3.75322461104952,42.6584172583109
96,german,same_language_other_run,3.73580632079393,41.9218143696088
96,german,initial,3.7461031479761,42.3557060676566
96,spanish,co_trained,3.73390822485089,41.8423182133622
96,spanish,other_language,3.76177013316192,43.024517738245
96,spanish,same_language_other_run,3.73719137487933,41.9799185793166
96,spanish,initial,3.75314594293013,42.6550615328453
97,german,co_trained,3.72314774058759,41.3944883608304
97,german,other_language,3.74279453116469,42.2157988438281
97,german,same_language_other_run,3.72581245005131,41.5049397407733
97,german,initial,3.73838325217366,42.0299833206767
97,spanish,co_trained,3.74099415214732,42.1398627827451
97,spanish,other_language,3.76673094090074,43.2384843836925
97,spanish,same_language_other_run,3.74342061067,42.2422375657918
97,spanish,initial,3.75583282439038,42.7698247353815
98,german,co_trained,3.73307356750593,41.8074087858667
98,german,other_language,3.75482513918541,42.7267479233548
98,german,same_language_other_run,3.73485630983487,41.8820070982
98,german,initial,3.74626614106819,42.3626103178134
98,spanish,co_trained,3.74126558424905,42.1513024467425
98,spanish,other_language,3.76277391589247,43.0677266887119
98,spanish,same_language_other_run,3.74441520823166,42.2842724927265
98,spanish,initial,3.75497891800478,42.7333188974312
99,german,co_trained,3.72871410939842,41.6255478343017
99,german,other_language,3.74907423905097,42.4817358582075
99,german,same_language_other_run,3.73113045282662,41.7262510710601
99,german,initial,3.74302319902927,42.225453344196
99,spanish,co_trained,3.74487723875791,42.3038136313521
99,spanish,other_language,3.76919164508581,43.3450125165297
99,spanish,same_language_other_run,3.74684800161049,42.3872666217957
99,spanish,initial,3.76070436602458,42.9786880473671
100,german,co_trained,3.71947331214324,41.2426663756859
100,german,other_language,3.74486870737746,42.3034527229633
100,german,same_language_other_run,3.72099525202066,41.3054830237499
100,german,initial,3.73455464839935,41.8693748172483
100,spanish,co_trained,3.73859190009534,42.0387537042743
100,spanish,other_language,3.76529300608672,43.1763549414409
100,spanish,same_language_other_run,3.74138270644471,42.1562395889539
100,spanish,initial,3.75603004451841,42.7782606375291
101,german,co_trained,3.72694940771908,41.5521559365835
101,german,other_language,3.74585696286522,42.3452800068849
101,german,same_language_other_run,3.72910827677697,41.6419585014344
101,german,initial,3.73988844826818,42.0932943232072
101,spanish,co_trained,3.72809208836406,41.5996639189864
101,spanish,other_language,3.75750591512769,42.8414424277254
101,spanish,same_language_other_run,3.73265038942918,41.7897205499238
101,spanish,initial,3.74518247926608,42.3167284398835
